"","I","DISPATCH","UNIT_SCADA","X1","SETTLEMENTDATE","DUID","SCADAVALUE"
"66","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 05:25:00","LK_ECHO",0
"67","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 05:30:00","LK_ECHO",0
"68","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 05:35:00","LK_ECHO",0
"69","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 05:40:00","LK_ECHO",0
"70","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 05:45:00","LK_ECHO",0
"71","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 05:50:00","LK_ECHO",0
"72","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 05:55:00","LK_ECHO",0
"73","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 06:00:00","LK_ECHO",0
"74","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 06:05:00","LK_ECHO",0
"75","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 06:10:00","LK_ECHO",0
"76","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 06:15:00","LK_ECHO",0
"77","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 06:20:00","LK_ECHO",0
"78","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 06:25:00","LK_ECHO",0
"79","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 06:30:00","LK_ECHO",0
"80","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 06:35:00","LK_ECHO",0
"81","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 06:40:00","LK_ECHO",0
"82","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 06:45:00","LK_ECHO",0
"83","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 06:50:00","LK_ECHO",0
"84","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 06:55:00","LK_ECHO",0
"85","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 07:00:00","LK_ECHO",0
"86","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 07:05:00","LK_ECHO",0
"87","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 07:10:00","LK_ECHO",0
"88","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 07:15:00","LK_ECHO",0
"89","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 07:20:00","LK_ECHO",0
"90","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 07:25:00","LK_ECHO",0
"91","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 07:30:00","LK_ECHO",0
"92","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 07:35:00","LK_ECHO",0
"93","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 07:40:00","LK_ECHO",0
"94","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 07:45:00","LK_ECHO",0
"95","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 07:50:00","LK_ECHO",0
"96","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 07:55:00","LK_ECHO",0
"97","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 08:00:00","LK_ECHO",0
"98","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 08:05:00","LK_ECHO",0
"99","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 08:10:00","LK_ECHO",0
"100","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 08:15:00","LK_ECHO",0
"101","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 08:20:00","LK_ECHO",0
"102","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 08:25:00","LK_ECHO",0
"103","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 08:30:00","LK_ECHO",0
"104","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 08:35:00","LK_ECHO",0
"105","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 08:40:00","LK_ECHO",0
"106","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 08:45:00","LK_ECHO",0
"107","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 08:50:00","LK_ECHO",0
"108","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 08:55:00","LK_ECHO",0
"109","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 09:00:00","LK_ECHO",0
"110","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 09:05:00","LK_ECHO",0
"111","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 09:10:00","LK_ECHO",0
"112","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 09:15:00","LK_ECHO",0
"113","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 09:20:00","LK_ECHO",0
"114","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 09:25:00","LK_ECHO",0
"115","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 09:30:00","LK_ECHO",0
"116","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 09:35:00","LK_ECHO",0
"117","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 09:40:00","LK_ECHO",0
"118","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 09:45:00","LK_ECHO",0
"119","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 09:50:00","LK_ECHO",0
"120","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 09:55:00","LK_ECHO",0
"121","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 10:00:00","LK_ECHO",0
"122","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 10:05:00","LK_ECHO",0
"123","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 10:10:00","LK_ECHO",0
"124","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 10:15:00","LK_ECHO",0
"125","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 10:20:00","LK_ECHO",0
