fuel_type,quantity,dif_ave,dif_ave_0,dif_total,dif_total_0
Battery,1082.40472833333,550.965743636933,416.166010628437,596367.926062307,450460.05767584
Black Coal,388038.161020833,22.6838772985903,16.3777245223239,8802210.03176721,6355182.10534836
Brown Coal,1551008.95077833,10.9604839706953,8.26632604486396,16999808.7434108,12821145.6856361
Gas,71982.32536,97.2196702580017,49.9598106882898,6998097.9359034,3596223.34788848
Hydro,1032840.26755083,81.9548422421421,74.477724496221,84646261.1884603,76923592.8952541
Liquid Fuel,1287.19830916667,884.295631989073,439.707557412405,1138263.8422998,565990.824429053
Solar,56044.90832,71.8348354416912,-93.8926941866981,4025976.76651187,-5262207.43761129
Wind,1760094.86550917,669.351957326551,29.2557401625758,1178122943.30897,51492878.0468199
